PWSID,SupplierName,ZIP,size,County,Hydrologic Region,Climate Zone,Population_21,PDSI_div
CA3910020,STOCKTON VERDE MOBILE HOME PARK,95212,SWS,San Joaquin,San Joaquin River,12.0,691.0,40505.0
CA4000222,AVILA BEACH COMMUNITY SERVICES DISTRICT,93401,SWS,San Luis Obispo,Central Coast,5.0,1630.0,40405.0
CA4000568,SAN SIMEON CSD,93452,LWS,San Luis Obispo,Central Coast,5.0,462.0,40405.0
CA4000805,CALLENDER GROVE MUTUAL WATER,93444,SWS,San Luis Obispo,Central Coast,5.0,30.0,40405.0
CA4010001,"ARROYO GRANDE, WATER DEPARTMENT",93420,LWS,San Luis Obispo,Central Coast,5.0,17641.0,40405.0
CA4010004,GROVER BEACH WATER DEPARTMENT,93433,LWS,San Luis Obispo,Central Coast,5.0,13549.0,40405.0
CA4010007,PASO ROBLES WATER DEPARTMENT,93446,LWS,San Luis Obispo,Central Coast,4.0,31221.0,40405.0
CA4010008,PISMO BEACH WATER DEPARTMENT,93449,LWS,San Luis Obispo,Central Coast,5.0,8180.0,40405.0
CA4010009,SAN LUIS OBISPO WATER DEPARTMENT,93401,LWS,San Luis Obispo,Central Coast,5.0,45920.0,40405.0
CA4010010,SAN MIGUEL COMMUNITY SERVICES DISTRICT,93451,SWS,San Luis Obispo,Central Coast,4.0,2600.0,40405.0
CA4010015,MORRO ROCK MUTUAL WATER CO,93430,SWS,San Luis Obispo,Central Coast,5.0,1881.0,40405.0
CA4010017,GOLDEN STATE WATER COMPANY - LOS OSOS,93402,LWS,San Luis Obispo,Central Coast,5.0,5518.0,40405.0
CA4010018,GOLDEN STATE WATER COMPANY - NIPOMO,93402,LWS,San Luis Obispo,Central Coast,5.0,4409.0,40405.0
CA4010026,NIPOMO COMM SERVICES DIST,93444,LWS,San Luis Obispo,Central Coast,5.0,13173.0,40405.0
CA4110001,MID-PENINSULA WATER DISTRICT,94002,LWS,San Mateo,San Francisco Bay,3.0,28050.0,40405.0
CA4110011,COASTSIDE COUNTY WATER DISTRICT,94019,LWS,San Mateo,San Francisco Bay,3.0,18738.0,40405.0
CA4110016,HILLSBOROUGH WATER DEPT.,94010,LWS,San Mateo,San Francisco Bay,3.0,10910.0,40405.0
CA4110022,CITY OF REDWOOD CITY,94063,LWS,San Mateo,San Francisco Bay,3.0,87023.0,40405.0
CA4110023,CITY OF SAN BRUNO,94066,LWS,San Mateo,San Francisco Bay,3.0,46085.0,40405.0
CA4210002,LOS ALAMOS COMMUNITY SER DIST,93440,SWS,Santa Barbara,Central Coast,5.0,1800.0,40605.0
CA4210003,GUADALUPE WATER DEPARTMENT,93434,LWS,Santa Barbara,Central Coast,5.0,8123.0,40605.0
CA4210004,GOLETA WATER DISRICT,93110,LWS,Santa Barbara,Central Coast,6.0,84462.0,40605.0
CA4210006,LOMPOC-CITY WATER UTILITY DIV,93436,LWS,Santa Barbara,Central Coast,5.0,40415.0,40605.0
